Starting data collection...
Saved - Temp: 80.2F  Humidity: 55.4%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.4%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.4%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.4%  Air Quality: 0.34V
Saved - Temp: 80.2F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.2F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.4F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.4F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.4F  Humidity: 55.4%  Air Quality: 0.34V
Saved - Temp: 80.4F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.4F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 55.5%  Air Quality: 0.35V
Saved - Temp: 81.0F  Humidity: 55.5%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 55.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 55.7%  Air Quality: 0.33V
Saved - Temp: 80.4F  Humidity: 55.4%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.2%  Air Quality: 0.32V
Reading error: Checksum did not validate. Try again.
Saved - Temp: 79.5F  Humidity: 54.9%  Air Quality: 0.32V
Saved - Temp: 79.2F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 54.5%  Air Quality: 0.31V
